Town,County,Blacklegged Ticks Tested,Borrelia burgdorferi Count,Borrelia burgdorferi %,Anaplasma phagocytophilum Count,Anaplasma phagocytophilum %,Babesia microti Count,Babesia microti %,Borrelia miyamotoi Count,Borrelia miyamotoi %,Deer Tick Virus Count,Deer Tick Virus %
Averys Gore,Essex,0,,,,,,,,,
Ira,Rutland,5,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Landgrove,Bennington,0,,,,,,,,,
Lewis,Essex,0,,,,,,,,,
Middlebury,Addison,60,34,56.7,6,10.0,3,5.0,1,1.7,0,0.0
Newport City,Orleans,3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Newport Town,Orleans,0,,,,,,,,,
Norton,Essex,0,,,,,,,,,
Orwell,Addison,18,12,66.7,2,11.1,2,11.1,0,0.0,0,0.0
Peru,Bennington,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Ryegate,Caledonia,12,9,75.0,0,0.0,0,0.0,1,8.3,0,0.0
Somerset,Windham,0,,,,,,,,,
St Albans City,Franklin,6,1,16.7,0,0.0,0,0.0,1,16.7,0,0.0
St Albans Town,Franklin,7,3,42.9,0,0.0,1,14.3,0,0.0,0,0.0
Stamford,Bennington,3,0,0.0,1,33.3,0,0.0,0,0.0,1,33.3
Stockbridge,Windsor,6,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Stratton,Windham,0,,,,,,,,,
Sunderland,Bennington,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sutton,Caledonia,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Topsham,Orange,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0
Townshend,Windham,3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Troy,Orleans,0,,,,,,,,,
Tunbridge,Orange,5,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0
Underhill,Chittenden,7,5,71.4,0,0.0,0,0.0,0,0.0,0,0.0
Vergennes,Addison,17,7,41.2,0,0.0,0,0.0,0,0.0,0,0.0
Vershire,Orange,0,,,,,,,,,
Victory,Essex,0,,,,,,,,,
Walden,Caledonia,0,,,,,,,,,
Waltham,Addison,4,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0
Wardsboro,Windham,3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Warren,Washington,0,,,,,,,,,
Warren Gore,Essex,0,,,,,,,,,
Washington,Orange,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Waterbury,Washington,12,7,58.3,0,0.0,0,0.0,1,8.3,0,0.0
Waterford,Caledonia,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0
Wells,Rutland,68,45,66.2,9,13.2,9,13.2,1,1.5,0,0.0
West Fairlee,Windsor,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
West Haven,Rutland,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
West Rutland,Rutland,39,23,59.0,5,12.8,0,0.0,0,0.0,0,0.0
West Windsor,Windsor,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Westfield,Orleans,0,,,,,,,,,
Westford,Chittenden,13,8,61.5,1,7.7,3,23.1,1,7.7,0,0.0
Westminster,Windham,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0
Westmore,Orleans,0,,,,,,,,,
Weston,Windsor,0,,,,,,,,,
Weybridge,Addison,0,,,,,,,,,
Wheelock,Caledonia,0,,,,,,,,,
Whiting,Addison,11,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0
Whitingham,Windham,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Williamstown,Orange,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Windham,Windham,0,,,,,,,,,
Windsor,Windsor,8,5,62.5,1,12.5,1,12.5,0,0.0,0,0.0
Winhall,Bennington,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Winooski,Chittenden,9,3,33.3,0,0.0,2,22.2,0,0.0,0,0.0
Woodbury,Washington,0,,,,,,,,,
Woodford,Bennington,0,,,,,,,,,
Woodstock,Windsor,3,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Worcester,Washington,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
TOTAL,,348,190,54.6,29,8.3,22,6.3,8,2.3,1,0.3
