tick_id,date,site,life_stage,bb_result
5,2016-05-23,Chipman,male,1
3,2016-05-23,Chipman,nymph,0
4,2016-05-23,Chipman,nymph,0
8,2016-05-23,Chipman,nymph,0
6,2016-05-23,Chipman,adult,1
7,2016-05-23,Chipman,nymph,1
1,2016-05-23,Foote,nymph,1
2,2016-05-23,Foote,male,0
9,2016-05-24,Gilmore,nymph,0
14,2016-05-26,Frost,nymph,0
10,2016-05-26,Gorge,nymph,0
11,2016-05-26,Gorge,male,0
12,2016-05-26,Gorge,nymph,0
13,2016-05-26,Gorge,nymph,0
44,2016-05-31,Foote,nymph,1
16,2016-05-31,Foote,nymph,0
17,2016-05-31,Foote,nymph,0
18,2016-05-31,Foote,nymph,0
19,2016-05-31,Foote,nymph,0
21,2016-05-31,Foote,nymph,0
24,2016-05-31,Foote,nymph,0
25,2016-05-31,Foote,nymph,0
29,2016-05-31,Foote,nymph,0
31,2016-05-31,Foote,nymph,0
32,2016-05-31,Foote,nymph,0
35,2016-05-31,Foote,nymph,0
36,2016-05-31,Foote,nymph,0
38,2016-05-31,Foote,nymph,0
41,2016-05-31,Foote,nymph,0
33,2016-05-31,Foote,nymph,1
34,2016-05-31,Foote,nymph,1
37,2016-05-31,Foote,nymph,1
39,2016-05-31,Foote,nymph,1
123,2016-06-01,Frost,nymph,0
47,2016-06-01,Gorge,nymph,0
48,2016-06-01,Gorge,nymph,0
121,2016-06-01,Gorge,nymph,0
122,2016-06-01,Gorge,nymph,0
124,2016-06-02,Gilmore,nymph,0
125,2016-06-02,Gilmore,nymph,0
128,2016-06-02,Gilmore,nymph,0
153,2016-06-03,BRF,female,0
142,2016-06-03,Chipman,nymph,1
145,2016-06-03,Chipman,nymph,1
131,2016-06-03,Chipman,nymph,0
141,2016-06-03,Chipman,nymph,0
143,2016-06-03,Chipman,nymph,0
144,2016-06-03,Chipman,nymph,0
146,2016-06-03,Chipman,female,0
148,2016-06-03,Chipman,nymph,0
149,2016-06-03,Chipman,male,0
150,2016-06-03,Chipman,nymph,0
151,2016-06-03,Chipman,nymph,0
152,2016-06-03,Chipman,nymph,0
129,2016-06-03,Chipman,female,1
130,2016-06-03,Chipman,female,1
147,2016-06-03,Chipman,nymph,1
157,2016-06-06,Crystal,nymph,0
158,2016-06-06,Gilmore,nymph,1
159,2016-06-06,Gilmore,nymph,0
156,2016-06-06,Gilmore,nymph,0
154,2016-06-06,Gorge,nymph,0
155,2016-06-06,Gorge,nymph,1
175,2016-06-07,Crystal,nymph,1
165,2016-06-07,Crystal,nymph,0
161,2016-06-08,Chipman,female,1
162,2016-06-08,Chipman,male,0
166,2016-06-08,Chipman,nymph,0
167,2016-06-08,Chipman,nymph,0
204,2016-06-08,Foote,nymph,1
201,2016-06-08,Foote,nymph,0
203,2016-06-08,Foote,nymph,0
207,2016-06-08,Foote,nymph,0
210,2016-06-08,Foote,nymph,0
180,2016-06-08,Foote,nymph,1
169,2016-06-08,Foote,nymph,0
170,2016-06-08,Foote,nymph,0
176,2016-06-08,Foote,nymph,0
177,2016-06-08,Foote,nymph,0
178,2016-06-08,Foote,nymph,0
182,2016-06-08,Foote,nymph,0
185,2016-06-08,Foote,nymph,0
186,2016-06-08,Foote,nymph,0
187,2016-06-08,Foote,nymph,0
188,2016-06-08,Foote,nymph,0
181,2016-06-08,Foote,male,1
212,2016-06-14,UpperChipman,nymph,0
213,2016-06-14,UpperChipman,nymph,0
214,2016-06-14,UpperChipman,female,0
215,2016-06-14,UpperChipman,nymph,0
216,2016-06-14,UpperChipman,nymph,0
217,2016-06-14,UpperChipman,nymph,0
242,2016-06-15,Chipman,nymph,0
244,2016-06-15,Chipman,nymph,0
245,2016-06-15,Chipman,nymph,0
246,2016-06-15,Chipman,nymph,0
247,2016-06-15,Chipman,nymph,0
197,2016-06-15,Chipman,nymph,0
198,2016-06-15,Chipman,nymph,0
243,2016-06-15,Chipman,nymph,1
189,2016-06-15,Foote,nymph,0
190,2016-06-15,Foote,female,0
193,2016-06-15,Foote,nymph,0
195,2016-06-15,Foote,nymph,0
196,2016-06-15,Foote,nymph,0
239,2016-06-15,Foote,nymph,0
194,2016-06-15,Foote,nymph,1
241,2016-06-15,Foote,nymph,1
218,2016-06-15,Foote,nymph,1
223,2016-06-15,Foote,male,0
224,2016-06-15,Foote,nymph,0
227,2016-06-15,Foote,nymph,0
230,2016-06-15,Foote,nymph,0
231,2016-06-15,Foote,nymph,0
234,2016-06-15,Foote,male,0
236,2016-06-15,Foote,nymph,0
235,2016-06-15,Foote,nymph,1
284,2016-06-16,BRF,nymph,0
199,2016-06-16,Gilmore,nymph,0
249,2016-06-17,Frost,nymph,0
248,2016-06-17,Gorge,nymph,0
200,2016-06-17,Gorge,nymph,0
281,2016-06-17,Gorge,nymph,0
282,2016-06-17,Gorge,nymph,0
283,2016-06-17,Gorge,nymph,0
301,2016-06-20,Crystal,nymph,1
251,2016-06-20,SPIN,nymph,0
252,2016-06-21,UpperChipman,nymph,0
265,2016-06-21,Foote,nymph,1
263,2016-06-21,Foote,nymph,0
254,2016-06-21,Foote,nymph,0
255,2016-06-21,Foote,nymph,0
256,2016-06-21,Foote,nymph,0
261,2016-06-21,Foote,nymph,1
262,2016-06-21,Foote,nymph,1
264,2016-06-21,Foote,nymph,1
253,2016-06-21,Foote,nymph,1
303,2016-06-21,Foote,nymph,1
302,2016-06-21,Foote,nymph,0
307,2016-06-21,Foote,nymph,0
309,2016-06-21,Foote,nymph,0
312,2016-06-21,Foote,nymph,0
305,2016-06-21,Foote,nymph,1
260,2016-06-22,Chipman,nymph,1
313,2016-06-22,Chipman,nymph,0
315,2016-06-22,Chipman,nymph,0
317,2016-06-22,Chipman,nymph,0
258,2016-06-22,Chipman,nymph,1
259,2016-06-22,Chipman,nymph,1
268,2016-06-23,BRF,nymph,0
269,2016-06-23,BRF,nymph,0
270,2016-06-23,BRF,nymph,0
321,2016-06-23,BRF,nymph,0
322,2016-06-23,Gorge,nymph,0
323,2016-06-23,Gorge,nymph,0
324,2016-06-23,Gorge,nymph,0
325,2016-06-27,Foote,nymph,0
326,2016-06-27,Foote,nymph,0
328,2016-06-27,Foote,nymph,0
329,2016-06-27,Foote,nymph,0
403,2016-06-27,Foote,nymph,0
271,2016-06-27,Foote,nymph,0
274,2016-06-27,Foote,nymph,0
275,2016-06-27,Foote,nymph,0
277,2016-06-27,Foote,nymph,0
278,2016-06-27,Foote,nymph,0
280,2016-06-27,Foote,nymph,0
401,2016-06-27,Foote,nymph,0
405,2016-06-28,Chipman,male,0
407,2016-06-28,Chipman,nymph,0
336,2016-07-01,Gorge,nymph,0
408,2016-07-01,Gorge,nymph,0
409,2016-07-01,Gorge,nymph,0
410,2016-07-01,Gorge,nymph,0
338,2016-07-05,Gilmore,nymph,0
430,2016-07-07,BRF,nymph,0
340,2016-07-07,Foote,nymph,0
341,2016-07-07,Foote,nymph,0
344,2016-07-07,Foote,nymph,0
345,2016-07-07,Foote,nymph,0
347,2016-07-07,Foote,nymph,0
348,2016-07-07,Foote,nymph,0
339,2016-07-07,Foote,nymph,1
428,2016-07-07,Foote,nymph,1
425,2016-07-07,Foote,nymph,0
426,2016-07-07,Foote,nymph,0
427,2016-07-07,Foote,nymph,0
429,2016-07-07,Foote,nymph,0
432,2016-07-08,Chipman,nymph,0
433,2016-07-08,Chipman,nymph,0
431,2016-07-08,UpperChipman,nymph,0
411,2016-07-08,Gorge,nymph,0
412,2016-07-08,Gorge,nymph,0
360,2016-07-12,Chipman,nymph,1
444,2016-07-12,Chipman,nymph,0
357,2016-07-12,Chipman,nymph,0
359,2016-07-12,Chipman,nymph,0
361,2016-07-12,UpperChipman,nymph,0
439,2016-07-12,Foote,nymph,0
442,2016-07-12,Foote,nymph,0
436,2016-07-12,Foote,nymph,1
438,2016-07-12,Foote,nymph,1
443,2016-07-12,Foote,nymph,1
349,2016-07-12,Foote,nymph,0
351,2016-07-12,Foote,nymph,0
352,2016-07-12,Foote,nymph,0
356,2016-07-12,Foote,nymph,0
355,2016-07-12,Foote,nymph,1
449,2016-07-13,Gorge,nymph,1
362,2016-07-13,Gorge,nymph,1
447,2016-07-13,Gorge,nymph,1
450,2016-07-13,Gorge,nymph,1
363,2016-07-14,BRF,nymph,1
451,2016-07-19,Gilmore,nymph,0
368,2016-07-20,Chipman,nymph,1
455,2016-07-20,Foote,nymph,0
460,2016-07-20,Foote,nymph,0
365,2016-07-20,Foote,nymph,1
364,2016-07-20,Foote,nymph,0
366,2016-07-20,Foote,nymph,0
462,2016-07-22,BRF,nymph,0
463,2016-07-22,BRF,nymph,0
371,2016-07-25,Gorge,nymph,1
370,2016-07-25,Gorge,nymph,0
465,2016-07-25,Gorge,nymph,0
466,2016-07-25,Gorge,nymph,1
464,2016-07-25,SPIN,nymph,1
468,2016-07-26,Foote,nymph,0
372,2016-07-26,Foote,nymph,0
373,2016-07-26,Foote,nymph,0
374,2016-07-26,Foote,nymph,0
469,2016-07-27,Crystal,nymph,0
375,2016-08-02,Chipman,nymph,0
379,2016-08-02,Foote,nymph,0
377,2016-08-02,Foote,nymph,1
472,2016-08-02,Foote,nymph,0
476,2016-10-23,Chipman,male,0
473,2016-10-23,Gorge,female,0
474,2016-10-23,Gorge,male,0
475,2016-10-23,Gorge,male,0
501,2016-11-01,Foote,female,0
502,2016-11-01,Foote,female,0
518,2017-05-23,BRF,nymph,0
504,2017-05-23,Foote,nymph,1
510,2017-05-23,Foote,nymph,1
513,2017-05-23,Foote,nymph,1
503,2017-05-23,Foote,nymph,0
507,2017-05-23,Foote,nymph,0
511,2017-05-23,Foote,nymph,0
514,2017-05-23,Foote,nymph,0
515,2017-05-23,Foote,nymph,0
516,2017-05-23,Foote,female,0
517,2017-05-23,Foote,nymph,1
508,2017-05-23,Foote,nymph,1
520,2017-05-24,Chipman,nymph,0
525,2017-05-24,Chipman,male,0
527,2017-05-24,Chipman,male,0
531,2017-05-24,Chipman,nymph,0
532,2017-05-24,Chipman,nymph,0
535,2017-05-24,Chipman,nymph,0
539,2017-05-24,Chipman,nymph,0
540,2017-05-24,Chipman,nymph,0
544,2017-05-24,Chipman,nymph,0
547,2017-05-24,Chipman,female,0
548,2017-05-24,Chipman,nymph,0
552,2017-05-24,Chipman,nymph,0
553,2017-05-24,Chipman,male,0
554,2017-05-24,Chipman,female,0
524,2017-05-24,Chipman,nymph,1
530,2017-05-24,Chipman,nymph,1
533,2017-05-24,Chipman,nymph,1
534,2017-05-24,Chipman,nymph,1
538,2017-05-24,Chipman,nymph,1
542,2017-05-24,Chipman,nymph,1
543,2017-05-24,Chipman,nymph,1
545,2017-05-24,Chipman,nymph,1
546,2017-05-24,Chipman,female,1
549,2017-05-24,Chipman,female,1
550,2017-05-24,Chipman,nymph,1
555,2017-05-24,Chipman,nymph,1
556,2017-05-24,Chipman,female,1
526,2017-05-24,Chipman,female,0
573,2017-05-24,UpperChipman,nymph,1
567,2017-05-24,UpperChipman,nymph,0
570,2017-05-24,UpperChipman,nymph,0
571,2017-05-24,UpperChipman,nymph,0
572,2017-05-24,UpperChipman,nymph,1
558,2017-05-24,Gorge,nymph,0
560,2017-05-24,Gorge,male,0
564,2017-05-24,Gorge,nymph,0
565,2017-05-24,Gorge,nymph,0
561,2017-05-24,Gorge,nymph,1
563,2017-05-24,Gorge,female,1
566,2017-05-24,Gorge,nymph,1
577,2017-05-29,Foote,nymph,1
628,2017-05-29,Foote,male,1
606,2017-05-29,Foote,nymph,1
